Isolate,Copy No,Swab Date,YardCode
309875,1.00E+00,19/04/2003,L
310049,1.00E+00,22/04/2003,L
311642,1.03E+00,06/05/2003,L
309757,1.68E+00,17/04/2003,L
309403,2.66E+00,16/04/2003,L
31942,2.82E+00,28/04/2003,L
309005,4.14E+00,14/04/2003,Q
308117,4.78E+00,08/04/2003,L
307301,5.00E+00,01/04/2003,I
309398,6.04E+00,16/04/2003,L
309067,6.20E+00,14/04/2003,L
309052,6.71E+00,14/04/2003,L
310032,7.11E+00,22/04/2003,L
308856,7.98E+00,10/04/2003,L
305072,8.36E+00,13/03/2003,A
310055,8.62E+00,22/04/2003,L
309393,9.45E+00,16/04/2003,L
309872,1.17E+01,19/04/2003,L
310030,1.36E+01,22/04/2003,L
309054,1.39E+01,14/04/2003,L
309242,1.51E+01,15/04/2003,L
306679,1.66E+01,27/03/2003,D
308954,1.93E+01,14/04/2003,L
309753,1.99E+01,17/04/2003,L
307224,2.03E+01,31/03/2003,E
309390,2.16E+01,16/04/2003,L
309413,2.18E+01,16/04/2003,L
307044,2.24E+01,28/03/2003,E
9226,2.68E+01,15/04/2003,L
309039,2.71E+01,14/04/2003,L
309868,2.99E+01,19/04/2003,L
309090,3.35E+01,14/04/2003,N
306287,3.61E+01,26/03/2003,C
306439,3.66E+01,27/03/2003,D
309422,3.94E+01,16/04/2003,L
309019,4.27E+01,14/04/2003,L
311650,4.28E+01,06/05/2003,L
307481,4.47E+01,01/04/2003,E
309046,4.71E+01,14/04/2003,L
305065,4.90E+01,13/03/2003,A
306338,5.28E+01,27/03/2003,E
31819,5.51E+01,26/04/2003,L
310505,5.74E+01,24/04/2003,L
305371,5.90E+01,14/03/2003,A
307223,6.02E+01,31/03/2003,E
310046,6.19E+01,22/04/2003,L
31843,6.89E+01,26/04/2003,L
307418,7.73E+01,01/04/2003,H
307154,7.84E+01,31/03/2003,D
307230,7.95E+01,31/03/2003,E
307266,8.17E+01,31/03/2003,E
308656,8.19E+01,09/04/2003,L
309042,8.21E+01,14/04/2003,L
308854,9.18E+01,10/04/2003,L
309394,9.48E+01,16/04/2003,L
309424,9.48E+01,16/04/2003,L
307243,1.08E+02,01/04/2003,E
307129,1.13E+02,28/03/2003,G
1843,1.17E+02,08/05/2003,L
309440,1.19E+02,16/04/2003,L
308111,1.21E+02,08/04/2003,L
305342,1.29E+02,14/03/2003,A
307233,1.32E+02,31/03/2003,E
308771,1.50E+02,10/04/2003,L
309419,1.53E+02,16/04/2003,L
311020,1.54E+02,29/04/2003,T
309434,1.56E+02,16/04/2003,L
307917,1.60E+02,07/04/2003,L
308993,1.68E+02,14/04/2003,Q
308562,2.00E+02,09/04/2003,M
307420,2.13E+02,02/04/2003,D
306502,2.22E+02,27/03/2003,F
308139,2.38E+02,08/04/2003,L
307250,2.41E+02,31/03/2003,E
307297,2.53E+02,01/04/2003,F
309082,2.62E+02,14/04/2003,P
309225,2.74E+02,15/04/2003,L
307022,2.75E+02,28/03/2003,E
309044,2.84E+02,14/04/2003,L
309411,2.96E+02,16/04/2003,L
307245,2.96E+02,31/03/2003,E
309902,3.10E+02,19/04/2003,L
309871,3.10E+02,19/04/2003,L
307247,3.58E+02,31/03/2003,E
307274,3.64E+02,31/03/2003,E
307231,3.75E+02,31/03/2003,E
308140,3.78E+02,08/04/2003,L
308832,4.11E+02,11/04/2003,N
312483,5.09E+02,23/05/2003,W
307476,5.09E+02,01/04/2003,E
307708,5.30E+02,04/04/2003,H
307258,5.36E+02,31/03/2003,E
312612,5.75E+02,23/05/2003,W
308774,6.24E+02,10/04/2003,L
306216,6.63E+02,25/03/2003,B
307296,6.65E+02,01/04/2003,F
309018,7.44E+02,14/04/2003,L
31929,7.52E+02,28/04/2003,L
309899,7.73E+02,19/04/2003,L
307048,8.32E+02,28/03/2003,E
308138,1.09E+03,08/04/2003,L
307298,1.12E+03,01/04/2003,I
307479,1.27E+03,01/04/2003,E
308551,1.30E+03,09/04/2003,M
308751,1.37E+03,10/04/2003,L
309869,1.37E+03,19/04/2003,L
309873,1.66E+03,19/04/2003,L
307437,1.88E+03,02/04/2003,K
307991,1.90E+03,08/04/2003,N
306608,2.03E+03,28/03/2003,G
308860,2.31E+03,10/04/2003,L
308740,2.34E+03,10/04/2003,L
306442,2.38E+03,27/03/2003,D
308792,2.42E+03,10/04/2003,M
307032,2.44E+03,28/03/2003,E
307259,2.60E+03,31/03/2003,E
305066,2.72E+03,13/03/2003,A
308961,2.74E+03,14/04/2003,L
307738,2.75E+03,04/04/2003,H
309223,2.79E+03,17/04/2003,S
307414,2.95E+03,01/04/2003,H
307711,3.05E+03,04/04/2003,H
307153,3.11E+03,31/03/2003,D
307434,3.16E+03,02/04/2003,J
309650,3.23E+03,08/05/2003,V
307254,3.93E+03,31/03/2003,E
307241,4.40E+03,31/03/2003,E
307236,4.58E+03,31/03/2003,E
306306,4.94E+03,27/03/2003,D
308959,5.12E+03,14/04/2003,L
308930,5.54E+03,14/04/2003,R
309989,5.65E+03,21/04/2003,L
308653,5.98E+03,09/04/2003,L
308556,6.07E+03,09/04/2003,M
306441,6.72E+03,27/03/2003,D
